".id"	"Estimate"	"Std.Error"	"p"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"family_asv"
"ASV6"	-3.16810739536494	0.893894724688024	0.00757369772778116	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Fusibacteraceae"	"Fusibacter"	"Fusibacteraceae_(ASV6)"
"ASV11"	-4.52187725034993	1.18910337143768	0.00521610200252013	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"	"Roseimarinus"	"Prolixibacteraceae_(ASV11)"
"ASV17"	-3.28559957993093	0.821135906391066	0.00394269059434716	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Fusibacteraceae"	"Fusibacter"	"Fusibacteraceae_(ASV17)"
"ASV18"	-2.77801040136185	0.788162261714493	0.00779251289970216	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Fusibacteraceae"	"Fusibacter"	"Fusibacteraceae_(ASV18)"
"ASV20"	-4.5204277897598	1.11776501012918	0.00371418048078015	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales_(ASV20)"
"ASV28"	3.70275404062336	0.769649463553163	0.00133668990827112	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Endozoicomonadaceae"	"Endozoicomonas"	"Endozoicomonadaceae_(ASV28)"
"ASV32"	-4.61547784263833	1.35884280140854	0.00940731958044303	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Fusibacteraceae"	"Fusibacter"	"Fusibacteraceae_(ASV32)"
"ASV104"	3.69598411530196	1.06365647178374	0.0083835178168563	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"SAR86 clade"	"SAR86 clade"	"SAR86 clade_(ASV104)"
"ASV134"	4.99731134793056	1.29771531669728	0.00487163563421637	"Bacteria"	"SAR324 clade(Marine group B)"	"SAR324 clade(Marine group B)"	"SAR324 clade(Marine group B)"	"SAR324 clade(Marine group B)"	"SAR324 clade(Marine group B)"	"SAR324 clade(Marine group B)_(ASV134)"
